Rank	Beauty Coefficient	Author(s)	Title	Publication Year	Awakening Year	Journal
1	11600.0	FREUNDLICH, H	concerning adsorption in solutions	1906	2002	ZEITSCHRIFT FUR PHYSIKALISCHE CHEMIE--STOCHIOMETRIE UND VERWANDTSCHAFTSLEHRE
2	10769.1	HUMMERS, WS; OFFEMAN, RE	preparation of graphitic oxide	1958	2007	JOURNAL OF THE AMERICAN CHEMICAL SOCIETY
3	5923.0	PATTERSON, AL	the scherrer formula for x-ray particle size determination	1939	2004	PHYSICAL REVIEW
4	5167.6	BAXTER, S; CASSIE, ABD	wettability of porous surfaces	1944	2002	TRANSACTIONS OF THE FARADAY SOCIETY
5	4273.1	STEVENSON, PC; HILLIER, J; TURKEVICH, J	a study of the nucleation and growth processes in the synthesis of colloidal gold	1951	1997	DISCUSSIONS OF THE FARADAY SOCIETY
6	3978.4	PEARSON, K	on lines and planes of closest fit to systems of points in space	1901	2002	PHILOSOPHICAL MAGAZINE
7	3892.5	STONEY, GG	the tension of metallic films deposited by electrolysis	1909	1989	PROCEEDINGS OF THE ROYAL SOCIETY OF LONDON SERIES A-CONTAINING PAPERS OF A MATHEMATICAL AND PHYSICAL CHARACTER
8	3559.9	PICKERING, SU	emulsions	1907	1998	JOURNAL OF THE CHEMICAL SOCIETY
9	2962.5	WENZEL, RN	resistance of solid surfaces to wetting by water	1936	2003	INDUSTRIAL AND ENGINEERING CHEMISTRY
10	2736.2	WILSON, EB	probable inference, the law of succession, and statistical inference	1927	1999	JOURNAL OF THE AMERICAN STATISTICAL ASSOCIATION
11	2671.3	LANGMUIR, I	the constitution and fundamental properties of solids and liquids part i solids	1916	2003	JOURNAL OF THE AMERICAN CHEMICAL SOCIETY
12	2584.1	MOLLER, C; PLESSET, MS	note on an approximation treatment for many-electron systems	1934	1982	PHYSICAL REVIEW
13	2573.2	PUGH, SF	relations between the elastic moduli and the plastic properties of polycrystalline pure metals	1954	2005	PHILOSOPHICAL MAGAZINE
14	2258.3	ROSEN, N; EINSTEIN, A; PODOLSKY, B	can quantum-mechanical description of physical reality be considered complete?	1935	1994	PHYSICAL REVIEW
15	2183.5	WASHBURN, EW	the dynamics of capillary flow	1921	1995	PHYSICAL REVIEW
16	2127.7	VOGEL, H	the temperature dependence law of the viscosity of fluids	1921	1990	PHYSIKALISCHE ZEITSCHRIFT
17	2089.6	RAMSDEN, W	"separation of solids in the surface-layers of solutions and 'suspensions' (observations on surface-membranes, bubbles, emulsions, and mechanical coagulation). preliminary account."	1903	2000	PROCEEDINGS OF THE ROYAL SOCIETY OF LONDON
18	2068.5	LANGMUIR, I	the adsorption of gases on plane surfaces of glass, mica and platinum	1918	1998	JOURNAL OF THE AMERICAN CHEMICAL SOCIETY
19	1953.6	RICE, SA; THOMAS, CA; REICHMANN, ME; DOTY, P	a further examination of the molecular weight and size of desoxypentose nucleic acid	1954	2000	JOURNAL OF THE AMERICAN CHEMICAL SOCIETY
20	1947.0	HYERS, DH	on the stability of the linear functional equation	1941	1997	PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES OF THE UNITED STATES OF AMERICA
21	1909.0	MANN, HB	nonparametric tests against trend	1945	2003	ECONOMETRICA
22	1908.3	BLOIS, MS	antioxidant determinations by the use of a stable free radical	1958	1999	NATURE
23	1905.4	KLEIN, O	the quantum theory and five-dimensional relativity theory	1926	1977	ZEITSCHRIFT FUR PHYSIK
24	1901.2	STROOP, JR	studies of interference in serial verbal reactions	1935	1987	JOURNAL OF EXPERIMENTAL PSYCHOLOGY
25	1893.2	KAPLAN, EL; MEIER, P	nonparametric-estimation from incomplete observations	1958	1980	JOURNAL OF THE AMERICAN STATISTICAL ASSOCIATION
26	1833.6	WALLACE, PR	the band theory of graphite	1947	2005	PHYSICAL REVIEW
27	1792.3	DICE, LR	measures of the amount of ecologic association between species	1945	1990	ECOLOGY
28	1760.2	FISHER, RA	on the interpretation of x(2) from contingency tables, and the calculation of p	1922	2006	JOURNAL OF THE ROYAL STATISTICAL SOCIETY
29	1670.3	MINKOWSKI, P	mu-]egamma at a rate of one out of 109 muon decays	1977	2003	PHYSICS LETTERS B
30	1655.5	FULCHER, GS	analysis of recent measurements of the viscosity of glasses	1925	1990	JOURNAL OF THE AMERICAN CERAMIC SOCIETY
31	1629.4	ZENER, C	interaction between the d-shells in the transition metals .2. ferromagnetic compounds of manganese with perovskite structure	1951	1994	PHYSICAL REVIEW
32	1609.3	WULFF, G	on the question of speed of growth and dissolution of crystal surfaces	1901	1986	ZEITSCHRIFT FUR KRYSTALLOGRAPHIE UND MINERALOGIE
33	1541.5	WARBURG, O	respiratory impairment in cancer cells	1956	2004	SCIENCE
34	1522.3	HARRIS, JW	influenza occurring in pregnant women - a statistical study of thirteen hundred and fifty cases	1919	2000	JOURNAL OF THE AMERICAN MEDICAL ASSOCIATION
35	1486.1	BENEDICT, FG; HARRIS, JA	a biometric study of human basal metabolism	1918	2006	PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES OF THE UNITED STATES OF AMERICA
36	1433.0	OSTWALD, W	on the assumed isomerism of red and yellow mercury oxide and the surface-tension of solid bodies	1900	1993	ZEITSCHRIFT FUR PHYSIKALISCHE CHEMIE--STOCHIOMETRIE UND VERWANDTSCHAFTSLEHRE
37	1432.1	KERMACK, WO; MCKENDRICK, AG	contribution to the mathematical theory of epidemics	1927	1997	PROCEEDINGS OF THE ROYAL SOCIETY OF LONDON SERIES A-CONTAINING PAPERS OF A MATHEMATICAL AND PHYSICAL CHARACTER
38	1344.9	WARBURG, O; WIND, F; NEGELEIN, E	the metabolism of tumors in the body	1927	2004	JOURNAL OF GENERAL PHYSIOLOGY
39	1343.0	WIENER, H	structural determination of paraffin boiling points	1947	1991	JOURNAL OF THE AMERICAN CHEMICAL SOCIETY
40	1340.0	FOWLER, RH; NORDHEIM, L	electron emission in intense electric fields	1928	1991	PROCEEDINGS OF THE ROYAL SOCIETY OF LONDON SERIES A-CONTAINING PAPERS OF A MATHEMATICAL AND PHYSICAL CHARACTER
41	1336.0	WAGNER, RS; ELLIS, WC	vapor-liquid-solid mechanism of single crystal growth ( new method growth catalysis from impurity whisker epitaxial + large crystals si e )	1964	1997	APPLIED PHYSICS LETTERS
42	1333.2	ULLMANN, F	on a new formation-manner of diphenyl-amine-derivatives. [preliminary announcement.]	1903	2000	BERICHTE DER DEUTSCHEN CHEMISCHEN GESELLSCHAFT
43	1319.5	KLEIN, O	the reflection of electrons at a potential jump to the relative dynamics of dirac	1929	2004	ZEITSCHRIFT FUR PHYSIK
44	1281.3	MEYER, E; BEHREND, R; RUSCHE, F	condensates of glycoluril and formaldehyde	1905	1997	JUSTUS LIEBIGS ANNALEN DER CHEMIE
45	1279.2	SAMPSON, JA	peritoneal endometriosis due to the menstrual dissemination of endometrial tissue into the peritoneal cavity	1927	1992	AMERICAN JOURNAL OF OBSTETRICS AND GYNECOLOGY
46	1275.5	VEGARD, L	the constitution of the mixed crystals and the filling of space of the atoms	1921	1996	ZEITSCHRIFT FUR PHYSIK
47	1255.0	YERKES, RM; DODSON, JD	the relation of strength of stimulus to rapidity of habit-formation	1908	1981	JOURNAL OF COMPARATIVE NEUROLOGY AND PSYCHOLOGY
48	1254.5	YOUDEN, WJ	index for rating diagnostic tests	1950	2002	CANCER
49	1254.2	AMPT, GA; GREEN, WH	studies on soil physics part i - the flow of air and water through soils	1911	1984	JOURNAL OF AGRICULTURAL SCIENCE
50	1247.4	EGERTON, L; JAEGER, RE	hot pressing of potassium-sodium niobates	1962	2002	JOURNAL OF THE AMERICAN CERAMIC SOCIETY
51	1247.1	HASTINGS, WK	monte-carlo sampling methods using markov chains and their applications	1970	1995	BIOMETRIKA
52	1221.1	ANDERSON, PW; HASEGAWA, H	considerations on double exchange	1955	1994	PHYSICAL REVIEW
53	1215.4	WIENER, N	the homogeneous chaos	1938	2001	AMERICAN JOURNAL OF MATHEMATICS
54	1214.0	EINSTEIN, A	generation and conversion of light with regard to a heuristic point of view	1905	1998	ANNALEN DER PHYSIK
55	1212.7	WENTWORTH, CK	a scale of grade and class terms for clastic sediments	1922	1999	JOURNAL OF GEOLOGY
56	1204.0	PURCELL, EM	spontaneous emission probabilities at radio frequencies	1946	1990	PHYSICAL REVIEW
57	1199.0	ARRHENIUS, O	species and area	1921	1995	JOURNAL OF ECOLOGY
58	1193.0	METROPOLIS, N; ULAM, S	the monte carlo method	1949	2004	JOURNAL OF THE AMERICAN STATISTICAL ASSOCIATION
59	1154.1	WOOD, RW	on a remarkable case of uneven distribution of light in a diffraction grating spectrum	1902	1990	PHILOSOPHICAL MAGAZINE
60	1148.5	SCHRODINGER, E	the current situation in quantum mechanics	1935	1991	NATURWISSENSCHAFTEN
61	1148.2	COCHRAN, WG	the combination of estimates from different experiments	1954	2001	BIOMETRICS
62	1147.6	LIPPMANN, G	reversible test prints. integral photographies	1908	2000	COMPTES RENDUS HEBDOMADAIRES DES SEANCES DE L ACADEMIE DES SCIENCES
63	1139.9	LUCAS, R	the time law of the capillary rise of liquids	1918	1999	KOLLOID-ZEITSCHRIFT
64	1136.7	DU BOIS, EF; DU BOIS, D	a formula to estimate the approximate surface area if height and weight be known	1916	1983	ARCHIVES OF INTERNAL MEDICINE
65	1130.9	PARRATT, LG	surface studies of solids by total reflection of x-rays	1954	1987	PHYSICAL REVIEW
66	1123.5	MORAN, PAP	notes on continuous stochastic phenomena	1950	1999	BIOMETRIKA
67	1111.8	MURNAGHAN, FD	the compressibility of media under extreme pressures	1944	1999	PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES OF THE UNITED STATES OF AMERICA
68	1081.5	SHOCKLEY, W; QUEISSER, HJ	detailed balance limit of efficiency of p-n junction solar cells	1961	2004	JOURNAL OF APPLIED PHYSICS
69	1069.7	BASS, NM; STOCK, JPP; TUCKER, HH; CARSON, PHM; SHARRATT, GP	results of early mobilization and discharge after myocardial-infarction	1973	2004	BRITISH MEDICAL JOURNAL
70	1060.0	LERAY, J	on the movement of a viscous fluid to fill the space	1934	1995	ACTA MATHEMATICA
71	1057.4	BUCKINGHAM, E	on physically similar systems, illustrations of the use of dimensional equations	1914	1995	PHYSICAL REVIEW
72	1049.7	LORENZ, MO	methods of measuring the concentration of wealth	1905	2005	PUBLICATIONS OF THE AMERICAN STATISTICAL ASSOCIATION
73	1045.6	PETERSON, DL; REDLICH, O	a useful adsorption isotherm	1959	2003	JOURNAL OF PHYSICAL CHEMISTRY
74	1043.7	MURRAY, CD	the physiologtcal principle of minimom work i the vascular system and the cost of blood volume	1926	1996	PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES OF THE UNITED STATES OF AMERICA
75	1040.4	MIE, G	articles on the optical characteristics of turbid tubes, especially colloidal metal solutions	1908	1987	ANNALEN DER PHYSIK
76	1039.1	EINSTEIN, A	the electrodynamic moving body	1905	1991	ANNALEN DER PHYSIK
77	1033.3	WENZEL, RN	surface roughness and contact angle	1949	2001	JOURNAL OF PHYSICAL AND COLLOID CHEMISTRY
78	1031.9	MANGOLD, H; SPEMANN, H	the induction of embryonic predispositions by implantation of organizers foreign to the species	1924	1982	ARCHIV FUR MIKROSKOPISCHE ANATOMIE UND ENTWICKLUNGSMECHANIK
79	1031.0	DINEGAR, RH; LAMER, VK	theory, production and mechanism of formation of monodispersed hydrosols	1950	1997	JOURNAL OF THE AMERICAN CHEMICAL SOCIETY
80	1027.5	ABBOTT, WS	a method of computing the effectiveness of an insecticide	1925	1981	JOURNAL OF ECONOMIC ENTOMOLOGY
81	1025.3	EINSTEIN, A	the motion of elements suspended in static liquids as claimed in the molecular kinetic theory of heat	1905	2001	ANNALEN DER PHYSIK
82	1023.8	GOLDBERG, I	concerning phenylization in the presence of copper as a catalytic agent	1906	2000	BERICHTE DER DEUTSCHEN CHEMISCHEN GESELLSCHAFT
83	1013.4	EGERTON, L; DILLON, DM	piezoelectric and dielectric properties of ceramics in the system potassium sodium niobate	1959	2001	JOURNAL OF THE AMERICAN CERAMIC SOCIETY
84	1011.4	EWALD, PP	the calculation of optical and electrostatic grid potential	1921	1985	ANNALEN DER PHYSIK
85	1003.0	BLACK, IA; WALKLEY, A	an examination of the degtjareff method for determining soil organic matter, and a proposed modification of the chromic acid titration method	1934	1988	SOIL SCIENCE
86	1000.5	WOLLAN, EO	neutron diffraction study of the magnetic properties of the series of perovskite-type compounds [(1-x)la,xca]mno3	1955	1993	PHYSICAL REVIEW
87	996.4	RAJKA, G; HANIFIN, JM	diagnostic features of atopic-dermatitis	1980	2006	ACTA DERMATO-VENEREOLOGICA
88	991.5	STOBER, W; FINK, A; BOHN, E	controlled growth of monodisperse silica spheres in micron size range	1968	2002	JOURNAL OF COLLOID AND INTERFACE SCIENCE
89	990.1	YULE, GU	a mathemahcal theory of evolution, based on the conclusions of dr j c willis, f r s	1925	2001	PHILOSOPHICAL TRANSACTIONS OF THE ROYAL SOCIETY OF LONDON SERIES B-CONTAINING PAPERS OF A BIOLOGICAL CHARACTER
90	989.2	TIMOSHENKO, S	analysis of bi-metal thermostats	1925	1988	JOURNAL OF THE OPTICAL SOCIETY OF AMERICA AND REVIEW OF SCIENTIFIC INSTRUMENTS
91	985.3	KENDALL, MG	a new measure of rank correlation	1938	2004	BIOMETRIKA
92	984.8	ROSSITER, RA	on the detection of an effect of rotation during eclipse in the velocity of the brigher component of beta lyrae, and on the constancy of velocity of this system	1924	2000	ASTROPHYSICAL JOURNAL
93	977.4	HORTON, RE	the role of infiltration in the hydrologic cycle	1933	2004	TRANSACTIONS-AMERICAN GEOPHYSICAL UNION
94	961.3	LEIBLER, RA; KULLBACK, S	on information and sufficiency	1951	1995	ANNALS OF MATHEMATICAL STATISTICS
95	953.3	MEIKLEJOHN, WH; BEAN, CP	new magnetic anisotropy	1956	1994	PHYSICAL REVIEW
96	946.9	BIRCH, F	finite elastic strain of cubic crystals	1947	1999	PHYSICAL REVIEW
97	942.7	JOYNER, LG; HALENDA, PP; BARRETT, EP	the determination of pore volume and area distributions in porous substances .1. computations from nitrogen isotherms	1951	1990	JOURNAL OF THE AMERICAN CHEMICAL SOCIETY
98	942.7	PLANCK, M	law of energy distribution in normal spectra	1901	2000	ANNALEN DER PHYSIK
99	933.3	ARCHIE, GE	the electrical resistivity log as an aid in determining some reservoir characteristics	1942	1998	TRANSACTIONS OF THE AMERICAN INSTITUTE OF MINING AND METALLURGICAL ENGINEERS
100	931.5	VOLTERRA, V	fluctuations in the abundance of a species considered mathematically	1926	1994	NATURE